configuration,train_loss,eval_loss,accuracy,perplexity,avg_confidence,top5_accuracy,convergence_total_improvement,convergence_early_phase_loss,convergence_late_phase_loss,convergence_converged,efficiency_avg_step_time,efficiency_steps_per_second,efficiency_step_time_std
high_lr,2.2270498275756836,2.851443576812744,0.412109375,18.824468460556883,0.34521484375,0.6591796875,0.5495073242001104,6.064405277252197,2.731970160484314,False,0.01647009224579178,60.71611409799521,0.005604723948962169
short_seq,3.874924659729004,3.9792752504348754,0.3486328125,43.69459028318509,0.29052734375,0.5514322916666666,0.3823910720508928,6.256714632987976,3.864202816963196,False,0.015486011753330479,64.57440533615353,0.0032806451664996435
baseline,3.642197608947754,3.8515960574150085,0.304443359375,48.85239876813527,0.260009765625,0.535888671875,0.38741994702187377,6.188639238357544,3.791036952495575,False,0.0155010657744842,64.51169323118849,0.003531987747113671
large_batch,1.3341822624206543,1.6126207530498504,0.6983642578125,4.926475990865711,0.50244140625,0.8763427734375,0.7344219029123921,5.547637411117554,1.4733309869766236,False,0.015842307198632347,63.12211898569478,0.0034188452366395463
low_lr,4.893324375152588,5.180021476745606,0.253662109375,178.18183690462678,0.2166748046875,0.41748046875,0.2563331669081447,6.9447983465194705,5.164616192817688,False,0.01580963413854907,63.25257063107312,0.003447557066092024
small_model,4.052553176879883,4.2102068901062015,0.29443359375,77.24826382479674,0.2578125,0.4908854166666667,0.34920937770381233,6.434232378005982,4.187338093280792,False,0.011398880928009003,87.72790998656971,0.0023849119314276247
